$732810,3311 sqft,Single Family,6 bd,5 ba
$1250/mo,512 sqft,Single Family,1 bd,1 ba
$536929,2350 sqft,Single Family,5 bd,3 ba
$449536,2142 sqft,Single Family,2 bd,2 ba
$1550,650 sqft,Single Family,1 bd,1 ba
$1100,600 sqft,Single Family,1 bd,1 ba
$1550/mo,673 sqft,Apartment,1 bd,1 ba
$175000,1336 sqft,Townhouse,2 bd,2 ba
$2150/mo,2099 sqft,Single Family,3 bd,2.5 ba
$463034,1598 sqft,Single Family,3 bd,2 ba
$2609/mo,2350 sqft,Single Family,4 bd,3 ba
$301667,1764 sqft,Condo,3 bd,2 ba
$502831,2386 sqft,Single Family,3 bd,3 ba
$2595/mo,2100 sqft,Single Family,3 bd,3 ba
$1975/mo,2062 sqft,Single Family,3 bd,2.5 ba
$865527,2083 sqft,Single Family,3 bd,2 ba
$2295/mo,2045 sqft,Single Family,3 bd,2 ba
$273174,1234 sqft,Townhouse,2 bd,2 ba
$1125,660 sqft,Townhouse,1 bd,1 ba
$49500,744 sqft,Mobile / Manufactured,2 bd,1 ba
$50000,576 sqft,Mobile / Manufactured,1 bd,1 ba
$343658,978 sqft,Condo,1 bd,1 ba
$370382,1772 sqft,Townhouse,3 bd,3 ba
$363000,800 sqft,Single Family,2 bd,1 ba
$363000,800 sqft,Single Family,2 bd,1 ba
$378265,1141 sqft,Single Family,3 bd,2 ba
$563900,2160 sqft,Single Family,4 bd,3 ba
$425361,1872 sqft,Single Family,3 bd,3 ba
$504793,2464 sqft,Single Family,3 bd,3 ba
$363000,800 sqft,Single Family,2 bd,1 ba
